Name,Title,Area of Study
John Doe,Associate Professor,Computer Science
Jane Smith,Assistant Professor,Mathematics
Bob Johnson,Professor,History
Emma Wilson,Assistant Professor,Biology
Michael Davis,Associate Professor,Political Science
Sarah Kim,Assistant Professor,English
David Lee,Professor,Economics
Jennifer Brown,Associate Professor,Psychology
William Smith,Assistant Professor,Philosophy
Elizabeth Johnson,Professor,Sociology
Thomas Lee,Associate Professor,Chemistry
Karen Wilson,Assistant Professor,Physics
James Davis,Professor,Art History
Marie Kim,Associate Professor,Environmental Science
Richard Brown,Assistant Professor,Music
Richard Smith,Assistant Professor,Science
James will,Professor, History
David Davis,Professor,Political Economics